# "url","title",slug
"https://medium.com/lapsed-historian/the-long-way-round-the-plane-that-accidentally-circumnavigated-the-world-c04ca734c6bb","A Plane That Accidentally Circumnavigated the World",the-long-way-round-the-plane-that-accidentally-circumnavigated-the-world
"https://multimedia.scmp.com/culture/article/spanish-galleon/chapter_01.html","The China Ship",the-china-ship
"https://pudding.cool/2018/02/stand-up/","The Structure of Stand-Up Comedy",structure-of-stand-up-comedy
"https://www.interviewcake.com/data-structures-reference","Data Structures Reference",data-structures-reference
"https://www.pnfsoftware.com/reversing-wasm.pdf","Reverse-Engineering WebAssembly",reversing-wasm.pdf
"http://christophermeiklejohn.com/erlang/lasp/2019/03/08/monotonicity.html","Applied Monotonicity: A Brief History of CRDTs in Riak",applied-monotonicity-riak
"http://kevincuzner.com/2014/12/12/teensy-3-1-bare-metal-writing-a-usb-driver/","Teensy 3.1 bare metal: Writing a USB driver",teensy-3-1-bare-metal-writing-a-usb-driver
"https://0x46.net/thoughts/2019/02/01/dotfile-madness/","Dotfile madness",dotfile-madness
"https://arxiv.org/abs/1410.6753","The symmetry and simplicity of the laws of physics and the Higgs boson",arxiv-1410-6753
"https://blog.acolyer.org/2019/03/08/a-generalised-solution-to-distributed-consensus/","A generalised solution to distributed consensus",a-generalised-solution-to-distributed-consensus
"https://blog.adamant-lang.org/2019/dreaming-of-a-parser-generator/","Dreaming of a Parser Generator for Language Design",dreaming-of-a-parser-generator
"https://github.com/minimaxir/big-list-of-naughty-strings","Big List of Naughty Strings",big-list-of-naughty-strings
"https://github.com/wasmerio/wasmer","Universal Binaries Using WASM",universal-binaries-wasmer
"https://media.defense.gov/2018/Oct/09/2002049591/-1/-1/0/DIB_DETECTING_AGILE_BS_2018.10.05.PDF","DIB Guide: Detecting Agile BS",detecting-agile-bs
"https://pacman128.github.io/pcasm/","PC Assembly Book",pc-assembly-book
"https://playbook.samaltman.com/","Sam Altman's Startup Playbook",playbook-samaltman-com
"https://queue.acm.org/detail.cfm?id=2169076","A Mouse is a Database",mouse-is-a-database
"https://www.brianstorti.com/replication/","A Primer on Database Replication",database-replication
"https://www.cubui.com/design/user-interface/my-top-10-free-font-superfamilies/","My Top Free Font Superfamilies",my-top-10-free-font-superfamilies
"https://www.forrestthewoods.com/blog/learning-rust-via-advent-of-code/","Learning Rust via Advent of Code",learning-rust-via-advent-of-code
"https://www.institutionalinvestor.com/article/b1db3jy3201d38/The-MBA-Myth-and-the-Cult-of-the-CEO","The MBA Myth and the Cult of the CEO",The-MBA-Myth-and-the-Cult-of-the-CEO
"https://www.joshmcguigan.com/blog/build-your-own-shell-rust/","Building your own shell using Rust",build-your-own-shell-rust
"https://www.nand2tetris.org/","From Nand to Tetris: Building a Modern Computer from First Principles",nand-2-tetris
"https://www.rust-lang.org/static/pdfs/Rust-npm-Whitepaper.pdf","Case Study: Npm uses Rust for its CPU-bound bottlenecks",Rust-npm-paper
"http://nautil.us/issue/19/illusions/five-ways-to-lie-with-charts","Ways to Lie with Charts",five-ways-to-lie-with-charts
"https://blog.pragmaticengineer.com/on-writing-well/","Undervalued Engineering Skills: Writing Well",on-writing-well
"https://blogs.scientificamerican.com/roots-of-unity/why-isnt-1-a-prime-number/","Why isn't 1 a prime number?",why-isnt-1-a-prime-number
"https://chess.stackexchange.com/questions/75/very-aggressive-openings","Aggressive Chess Openings",very-aggressive-openings
"https://courses.csail.mit.edu/6.851/fall17/","Advanced Data Structures",advanced-data-structures
"https://github.com/intel/wasm-micro-runtime","WebAssembly Micro Runtime",wasm-micro-runtime
"https://juretriglav.si/open-source-collaborative-text-editors/","Open source collaborative text editors",open-source-collaborative-text-editors
"https://llimllib.github.io/bloomfilter-tutorial/","Bloom Filters by Example",bloomfilter-tutorial
"https://ruslanspivak.com/lsbasi-part14/","Let's Build a Simple Interpreter. Part 14: Nested Scopes",lsbasi-part14
"https://techcrunch.com/2019/04/13/how-do-startups-actually-get-their-content-marketing-to-work/","How do startups get their content marketing to work?",how-do-startups-actually-get-their-content-marketing-to-work
"https://vcstarterkit.com/","VC Starter Kit",vc-starter-kit
"https://www.defmacro.org/2019/03/26/startup-checklist.html","Startup idea checklist",startup-idea-checklist
"https://www.kalzumeus.com/2019/6/26/how-brokerages-make-money/","How Discount Brokerages Make Money",how-brokerages-make-money
"https://www.nytimes.com/2019/04/27/nyregion/new-york-city-record-newspaper.html","The bible of doing business with the city of New York",new-york-city-record-newspaper
"https://www.nytimes.com/interactive/2019/03/20/magazine/train-across-america-amtrak.html","There is no reason to cross the U.S. by train",train-across-america-amtrak
"https://www.pierrehedkvist.com/posts/1-creating-a-collaborative-editor","Creating a Collaborative Editor",creating-a-collaborative-editor
"https://www.thenewatlantis.com/publications/do-elephants-have-souls","Do Elephants Have Souls?",do-elephants-have-souls
"https://www.wired.com/2015/04/silk-road-1/","The Untold Story of Silk Road",silk-road-1
